host	path	verdict	evidence	shard
105	/home/reyerchu/campaign_v164_spm_ihp/wt_hand	RECOVER	1 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/foundry_handoff_pack_gen.py) = 6b63d4f65d0615f8463b35d95746e3c18ba99bd741446402b9963b79bd5799ce here, 65d51ce55ac75dcc38222e1078b404c82b75715442957d1556ee106eea9ce1d2 on main (585 lines here vs 1253 on main); that file is python, 585 lines — foundry_handoff_pack_gen.py — emit Step 35 foundry handoff package skeleton.	b
105	/home/reyerchu/campaign_v164_spm_ihp/wt_reg	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/pdk_registry.json) = 01d16480750e768f5807bf5f3f362d9fb11ba27e178e70d1e867bf40d26147a7 here, a094ed9e0bf50dae73caa6094862236482a21a2a5f28f1c9ec75c66242e842da on main (445 lines here vs 426 on main); that file is json, 445 lines — {	b
105	/home/reyerchu/vibe-ic-wt-approachA-a857c45b	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = e2311955fe1050ab7ed4cad08aef6ae0123c957a4c9e8358eb49554094fe73ea here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (23577 lines here vs 41667 on main); that file is python, 23577 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS).	b
105	/home/reyerchu/vibe-ic-wt-hmpg-supply-p1p3	RECOVER	8 of the 8 files it owns differ from main. sha256(HANDOFF_TO_GATEKEEPER.md) = 28fd29b1db027806a969d75c8a9b3a8ac6581baa458ef7c6c31b18f3f0080596 here, (origin/main has no file at this path) on main (163 lines, a path main does not carry); that file is markdown, 163 lines — HANDOFF — fix/hardmacro-supply-p1p3-block; 0 modified + 1 new uncommitted file(s) on no branch	b
105	/home/reyerchu/vibe-ic-wt-ibex-cpu-regmap-nA	RECOVER	1 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/bit_level_full_stack_tb_check.py) = aa4b7a7af1ec416c8001ba5be7ea97e0110f4cd184670fdcedd7ae600f562b2b here, 23480c22a90167a79cbd68b2359cf53fc9147384e45a2482cc722920fa55c219 on main (643 lines here vs 1079 on main); that file is python, 643 lines — bit_level_full_stack_tb_check.py — v0.52 plugin gate	b
105	/home/reyerchu/vibe-ic-wt-macro-globalconnect	RECOVER	1 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = 7001ce03893e4e05d3ba6dc0ea257858eaad3bf64ef8b0ca513872c309a5dad7 here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (23110 lines here vs 41667 on main); that file is python, 23110 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS).	b
105	/home/reyerchu/vibe-ic-wt-opentitan_aes-lec-container-timeout	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_lec_run.py) = 20cbd1201e9a3b4c9dacb812e7fb6ba401d4dd23aaa2eed14cc87259e2bbb7fe here, adb0f03e8da0c76fb0338a185e6ebbe30e0b2d4faeff52bd820b8cc265f59d95 on main (1190 lines here vs 1325 on main); that file is python, 1190 lines — Unit tests for lec_run.py — the Step 13 LEC PRODUCER.	b
105	/home/reyerchu/vibe-ic-wt-opentitan_aes-lint-xor-fold-memberkey	RECOVER	2 of the 3 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/tests/test_shapec_emit_blocking_rules.py) = cfa2910d15a9c301c9784c9fd4f10f1b7f8207e3a897b0f313686866df5cd07c here, 74bf93df2aa9662ae62bd06c694c8e75c9799ca1968ebae8ad821404e2ef874a on main (355 lines here vs 382 on main); that file is python, 355 lines — ORGANIC-20260605-shapec-existing-guards-nonblocking regression tests.	b
105	/home/reyerchu/vibe-ic-wt-opentitan_aes-tdf-netlist-discovery	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/transition_fault_atpg_run.py) = 5beb8887c022538dc632044c249c6906d47f237be3dfbb37b04d7254f0c1cb69 here, 6c269735ef346d82272d1dcc15b51b2a0027f3f99fd054dbf955e5cc4c985cfa on main (1195 lines here vs 1516 on main); that file is python, 1195 lines — transition_fault_atpg_run.py — REAL open-source TRANSITION-DELAY-FAULT (TDF)	b
105	/home/reyerchu/vibe-ic-wt-routeconv-grt273-plateau	RECOVER	4 of the 4 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = 512bb835b77ae990ab7a793785a810c0c97f67efd1612a8156c21021694b6d9a here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (25156 lines here vs 41667 on main); that file is python, 25156 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS).; 0 modified + 1 new uncommitted file(s) on no branch	b
105	/home/reyerchu/vibe-ic-wt-sha256-regmap-defer	RECOVER	1 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/bit_level_full_stack_tb_check.py) = 034a6ef433fb020a0e122ec573b22507d2c8e6484e1048d262d71615b457c0c6 here, 23480c22a90167a79cbd68b2359cf53fc9147384e45a2482cc722920fa55c219 on main (847 lines here vs 1079 on main); that file is python, 847 lines — bit_level_full_stack_tb_check.py — v0.52 plugin gate	b
105	/home/reyerchu/vibe-ic-wt-sha256-spef	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = 67db83da29bdd5846b325b08563b803fb78aa3808d3101eabd8bbcb5111c3593 here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (23047 lines here vs 41667 on main); that file is python, 23047 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS).	b
105	/home/reyerchu/vibe-ic-wt-sha256-synthdontuse	RECOVER	1 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = 71aeb56876e877af242222337bcc3a528394735cb1dddd6683effe2b06437771 here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (22717 lines here vs 41667 on main); that file is python, 22717 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS).	b
105	/home/reyerchu/vibe-ic-wt-sha256-tdp	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/phase3_one_shot_runner.py) = 93065fac7d7edf790c98f1b85cf8a85b9f1ccfb4e6f9ba2c163b408ad3bc1b18 here, 8dcd4d70c1002f78067001366747ebe36bd5e93b3e5036678eecb9cfc532b226 on main (23529 lines here vs 41667 on main); that file is python, 23529 lines — phase3_one_shot_runner.py — single-call orchestrator for Phase 3 (synth → GDS).	b
105	/home/reyerchu/wt-capture-imagepin	RECOVER	2 of the 2 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/programs/container_image_provenance.py) = 38adb6e542ed93c13a09429b1b93e0601df79a646d84473294c4d7c59a106f17 here, ef9a77b1270e6b2bcd5d7a15fbdcaa89b0a40f42712ad8cb2781c27796b7ab19 on main (206 lines here vs 247 on main); that file is python, 206 lines — container_image_provenance.py — resolve and (optionally) enforce WHICH IMAGE a	b
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/88b1189e-b41f-4ef2-821e-c21282fc805b/scratchpad/wt-jrecords	RECOVER	8 of the 20 files it owns differ from main. sha256(RESULT.md) = c97d8eb4c7ffa8e6532afc0e36c93d4d3dd1f3b26bcbc3ea6437242065c36d64 here, (origin/main has no file at this path) on main (405 lines, a path main does not carry); that file is markdown, 405 lines — The record producers and the record consumer, made to agree	b
105	/tmp/claude-1000/-home-reyerchu-vibe-ic/c4dc4062-1bea-4944-bf44-566bb9f3e106/scratchpad/wt-jcap-ppa	RECOVER	11 of the 11 files it owns differ from main. sha256(ppa-capture/candidates/bucket_A_programs__atomic_artefact_rule_sketches.py) = 89a7a97b282f9c558e6f9ff9911daefddccc8dba2039df0a2f7f62c110758e12 here, (origin/main has no file at this path) on main (13 lines, a path main does not carry); that file is python, 13 lines — Bucket A — program-rule sketches for programs/_atomic_artefact.py	b
105	/tmp/shard_9a6c0f0b034ea9d73bc4bc6c661aae7b87fa6f0d_0	RECOVER	1 of the 635 files it owns differ from main. sha256(vibe-ic-marketplace/plugins/vibe-ic/agents/benchmark-agent.md) = a31a8aa55bf723fe316e5cc12da0a463b64e84fedce4cf80ae56a848b2679c79 here, 01cae9e9f1595214e5db00f54b54366535a69a997e7867931de4950356f7de40 on main (466 lines here vs 467 on main); that file is markdown, 466 lines — ---	b
105	/tmp/shard_b486b862c7a0eb1eb4354b7b6bd4c8cf7dea5740_0	RECOVER	20 of the 23 files it owns differ from main. sha256(tools/ci/repo_hygiene_gates.sh) = 7e29d348a0b3abb7006d529d3fe5bb39ab9729e6c5ba6f8048b04669651a7237 here, c311b8d27416b22c292c2cb0289e2668a7f5859a43bb4480c3c6ce389d12b861 on main (1269 lines here vs 1653 on main); that file is shell, 1269 lines — tools/ci/repo_hygiene_gates.sh — the repo-wide invariant gates, in ONE place.	b
108	/home/reyerchu/_cpath_priv/tree	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/INDEX.md sha256 08f6554cf86da2be (2346 lines) differs from origin/main a4caccefe's 0f8d4871a24db7b4 (2398 lines). tip: 15.5ic: the gate comment names the refusal shape that was added after it (#1410) . nadd=83 ndel=366 code_add=65. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: af1072b95b8f1eedbb59a7ac0fc4c0b083e34cbf -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout af1072b95b8f1eedbb59a7ac0fc4c0b083e34cbf	c
108	/home/reyerchu/_dens_priv/wt-jdrc1177	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/die_density_fill_gen.py sha256 6314f66aebc76ca4 (673 lines) differs from origin/main a4caccefe's 67daa7281b615287 (679 lines). tip: programs INDEX: regenerate for die_density_fill_gen . nadd=57 ndel=1001 code_add=57. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: 6aa0d6abf1762c84710a5970d67fac623cbc82ad -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is reachable from origin/fix/die-density, so removing this directory reclaims disk without losing it. The ref was confirmed LIVE by `git ls-remote --heads origin`, not read from a tracking ref -- refs/remotes is a cache of origin and outlives branches origin has deleted.	c
108	/home/reyerchu/_fix11	RECOVER	rule R2: tools/ci/protected_landing_transition.json sha256 02bffed72931d54e (1 lines) differs from origin/main a4caccefe's cc2abdd9d01beeb5 (1 lines). tip: landing: supply what the two refusals ask for, and make a killed STAGE nameable . nadd=11 ndel=395 code_add=10. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: 8e858cc68b8ff6e9289997b76412be26bf6b0237 -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout 8e858cc68b8ff6e9289997b76412be26bf6b0237	c
108	/home/reyerchu/_fix11_base	RECOVER	rule R2: tools/ci/protected_landing_transition.json sha256 53b6ca11c79b7884 (1 lines) differs from origin/main a4caccefe's cc2abdd9d01beeb5 (1 lines). tip: landing: a marker probe must not ask its question through a pipe . nadd=52 ndel=749 code_add=51. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: d45922bc380e7d31e949f7988a246aff3b355cc0 -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout d45922bc380e7d31e949f7988a246aff3b355cc0	c
108	/home/reyerchu/_gk1347	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/checker_execution_wiring_audit.py sha256 57ec7afa4206f4ac (984 lines) differs from origin/main a4caccefe's 396342e59c0c9398 (1242 lines). tip: fix(#1347): a NAME IN A SENTENCE is not an execution path . nadd=348 ndel=643 code_add=338. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: aa3b3676873a35d9ec3c67cdc0598cecb65357af -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout aa3b3676873a35d9ec3c67cdc0598cecb65357af	c
108	/home/reyerchu/_gk1734	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/ci_harness_timeout_ceiling_check.py sha256 c5debb1c90f0549a (2181 lines) differs from origin/main a4caccefe's 05686f80a9b96d95 (2043 lines). tip: fix(#1734): the exemption may not retire an advisory, may not be loosened by an added mark, and must name every call it admits . nadd=585 ndel=190 code_add=585. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: 89d4fb6ea5ae9ae149c4d8299083d466bd94a13f -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout 89d4fb6ea5ae9ae149c4d8299083d466bd94a13f DISPLACED WORK FROM THIS DIRECTORY: the reflog shows 4 prior head(s) that no origin branch and no GitHub PR ref holds and that own files differing from main: 16bb1f687cd owns 2 of which 2 DIFFER from main, anchored at harvest/rescue-8HD-6-priorheads-vibe-ic; 466afda5e5f owns 2 of which 2 DIFFER from main, anchored at harvest/rescue-8HD-6-priorheads-vibe-ic; 5eda349a575 owns 2 of which 2 DIFFER from main, anchored at harvest/rescue-8HD-6-priorheads-vibe-ic (and 1 more). These are NOT rows in any shard -- commits this worktree moved off, which nothing recorded. Preserved; recover with git fetch origin <anchor> && git checkout <sha>.	c
108	/home/reyerchu/_i1348	RECOVER	rule R2: tools/gen_matrix_63x8_census.py sha256 7555466656ca945f (1380 lines) differs from origin/main a4caccefe's f5acc7c24affab1b (1400 lines). tip: 63x8 census: a row that could not measure 52 of its 63 cells published 11 and looked clean . nadd=494 ndel=249 code_add=494. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: b74d5d0a4c25564584ba3e5ad2b4862b313e9141 -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout b74d5d0a4c25564584ba3e5ad2b4862b313e9141	c
108	/home/reyerchu/_jcapture	LANDED	rule L0: every file this branch owns is byte-identical to origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42; nadd=0, so no line in it is absent from main, and the working tree is clean. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: b6aaf660853105a793ee90fcf6fe39c07851ce1b -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is reachable from origin/agent/jcapture-bucket-a-gates, so removing this directory reclaims disk without losing it. The ref was confirmed LIVE by `git ls-remote --heads origin`, not read from a tracking ref -- refs/remotes is a cache of origin and outlives branches origin has deleted. NOTE ON WHAT 'LANDED' MEANS HERE: this worktree's head b6aaf660853 is an ANCESTOR of origin/main, so the set of files it owns relative to its merge-base is EMPTY and every content check passes trivially. The verdict therefore describes the DIRECTORY as it stands, not the history of work that may have passed through it. I checked the per-worktree reflog for displaced heads: its 3 prior heads (6dfe15a329e, b3628c8da99, d5646372fcc) each own 0 files differing from main and are all on origin branches. UNTRACKED CHECKED: 0 untracked files and 0 tracked modifications in this directory, measured on this host (.108) on 2026-08-22 with `git status --porcelain --untracked-files=all`. This is stated because the sweep that produced the row used `-uno`, which EXCLUDES untracked files, and a deletion-bound verdict resting on an unexamined input is a manufactured pass. Here the input was examined and is empty. HELD BUT ABSENT FROM MAIN'S TIP: 1 path(s) in this worktree's HEAD tree are not in origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (e.g. RESULT.md). The L0 owned-set rule cannot see these -- they are not in this branch's own diff against its merge-base -- so they are measured separately: a file the tree HOLDS and main's tip lacks is destroyed by the deletion this verdict authorises. All 1 are byte-identical to the same path at merge-base b6aaf660853, a commit origin/main contains: they are main's OWN content, deleted from main after this point, and reachable from origin forever. IGNORED ACCOUNTED: 0 gitignored entries in this directory, measured with `git status --porcelain --untracked-files=all --ignored=matching`. `-uall` reports untracked files and NOT ignored ones, so an untracked check alone is a universal over a domain that cannot contain an ignored file -- and `rm -rf` has never read .gitignore.	c
108	/home/reyerchu/_jfeas	RECOVER	rule R2: RESULT.md sha256 dfc38eff8bab1105 (488 lines) is ABSENT from origin/main a4caccefe entirely. tip: RESULT: what changed, the by-test-ID A/B, the mutation arms, and what I could not settle . nadd=564 ndel=817 code_add=546. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: b7698b9d60988c350dc0bbaa0e88f8316518fe3a -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout b7698b9d60988c350dc0bbaa0e88f8316518fe3a DISPLACED WORK FROM THIS DIRECTORY: the reflog shows 1 prior head(s) that no origin branch and no GitHub PR ref holds and that own files differing from main: 4b968de7eca owns 15 of which 5 DIFFER from main, anchored at harvest/rescue-8HD-6-priorheads-vibe-ic. These are NOT rows in any shard -- commits this worktree moved off, which nothing recorded. Preserved; recover with git fetch origin <anchor> && git checkout <sha>.	c
108	/home/reyerchu/_jfeas_base	LANDED	rule L0: every file this branch owns is byte-identical to origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42; nadd=0, so no line in it is absent from main, and the working tree is clean. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: e36d81c0a39dfa2ac496c4f683e7a21fb4fbf075 -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is reachable from origin/agent/j63b-63x8-reenumeration, so removing this directory reclaims disk without losing it. The ref was confirmed LIVE by `git ls-remote --heads origin`, not read from a tracking ref -- refs/remotes is a cache of origin and outlives branches origin has deleted. NOTE ON WHAT 'LANDED' MEANS HERE: this worktree's head e36d81c0a39 is an ANCESTOR of origin/main, so the set of files it owns relative to its merge-base is EMPTY and every content check passes trivially. The verdict therefore describes the DIRECTORY as it stands, not the history of work that may have passed through it. I checked the per-worktree reflog for displaced heads: it has no prior head recorded, so nothing was displaced. UNTRACKED CHECKED: 0 untracked files and 0 tracked modifications in this directory, measured on this host (.108) on 2026-08-22 with `git status --porcelain --untracked-files=all`. This is stated because the sweep that produced the row used `-uno`, which EXCLUDES untracked files, and a deletion-bound verdict resting on an unexamined input is a manufactured pass. Here the input was examined and is empty. HELD BUT ABSENT FROM MAIN'S TIP: 10 path(s) in this worktree's HEAD tree are not in origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (e.g. .image-version-ignore; tools/vibeic-eda/VERSION). The L0 owned-set rule cannot see these -- they are not in this branch's own diff against its merge-base -- so they are measured separately: a file the tree HOLDS and main's tip lacks is destroyed by the deletion this verdict authorises. All 10 are byte-identical to the same path at merge-base e36d81c0a39, a commit origin/main contains: they are main's OWN content, deleted from main after this point, and reachable from origin forever. IGNORED ACCOUNTED: 9 gitignored entries (240 file(s), 6460788 bytes) measured with `git status --porcelain --untracked-files=all --ignored=matching`: .pytest_cache/; tools/__pycache__/; vibe-ic-marketplace/plugins/vibe-ic/.pytest_cache/; vibe-ic-marketplace/plugins/vibe-ic/__pycache__/; vibe-ic-marketplace/plugins/vibe-ic/programs/__pycache__/; vibe-ic-marketplace/plugins/vibe-ic/programs/_ppa/__pycache__/; vibe-ic-marketplace/plugins/vibe-ic/programs/_ppa/backends/__pycache__/; vibe-ic-marketplace/plugins/vibe-ic/programs/tests/__pycache__/; vibe-ic-marketplace/plugins/vibe-ic/tools/phase1_engine/__pycache__/. `-uall` reports untracked files and NOT ignored ones, so the untracked check above is a universal over a domain that cannot contain an ignored file, and `rm -rf` has never read .gitignore. `git check-ignore -v`, asked against a skeleton built from origin/main's own .gitignore files, attributes every one of these to a rule main DECLARES generated or scratch and for three of which main names the producer (__pycache__/, .pytest_cache/, **/tests/fixtures/synthetic_benchmark_phase1/ 'rebuilt by build_synthetic_benchmark_phase1', vibe-ic-marketplace/plugins/vibe-ic/reports/ 'generated by plugin_full_audit.py', docs/reports/, scratch_geom_signoff_tests/ 'session scratch, never committed'). Raw measurement: tools/harvest/raw_ignored_entries_shard_c_jharv3.tsv. Gate: tools/harvest/bin_jharv3/ignored_accounted.py (`--self-test` shows each of its five guarantees going red).	c
108	/home/reyerchu/_jppa_closure/tree	RECOVER	rule R2: vibe-ic-marketplace/plugins/vibe-ic/programs/ppa_closure_run.py sha256 399d6ba4e8545aeb (253 lines) differs from origin/main a4caccefe's 5f7ce8ccb6a7b0b2 (256 lines). tip: closure: the implementation root is provenance, so it belongs in source, not scope . nadd=1 ndel=4 code_add=1. Measured on the host itself against origin/main a4caccefeab577a5337f1854c9c857e4d7a2bd42 (fetched there first, once per clone; clones whose origin is a LOCAL PATH were fetched from the GitHub URL instead, because fetching a local origin rewrites a correct origin/main BACKWARDS). [worktree HEAD when judged: fe08aed032b96d061f352bdd9dc70faf9f0021c7 -- re-measure before acting; these hosts are live] SURVIVABILITY: the commit is on NO live origin branch -- removing this directory would destroy it. Preserved as harvest/rescue-8hd6, confirmed live by ls-remote and confirmed to contain this sha by walking the ref. Recover with: git fetch origin harvest/rescue-8hd6 && git checkout fe08aed032b96d061f352bdd9dc70faf9f0021c7	c
